disease_id,disease_name,degree,degree_centrality
320128,Essential hypertension,2861,0.9131822534312161
320536,Electrocardiogram abnormal,2749,0.8774337695499521
432867,Hyperlipidemia,2699,0.8614746249601022
312437,Dyspnea,2404,0.7673156718799873
437677,Abnormal findings on diagnostic imaging of lung,2333,0.7446536865624003
77670,Chest pain,2256,0.7200766038940313
439777,Anemia,2247,0.7172039578678583
254061,Pleural effusion,2171,0.6929460580912863
436096,Chronic pain,2138,0.6824130226619853
438485,Postoperative state,2100,0.6702840727736994
4144111,Gastroesophageal reflux disease without esophagitis,2088,0.6664538780721353
254761,Cough,2083,0.6648579636131503
200219,Abdominal pain,2080,0.6639004149377593
197320,Acute renal failure syndrome,2070,0.6607085860197893
4272240,Malaise,2065,0.6591126715608043
75860,Constipation,2042,0.6517714650494734
444070,Tachycardia,2037,0.6501755505904884
314658,Cardiomegaly,2033,0.6488988190233004
4193704,Type 2 diabetes mellitus without complication,1989,0.6348547717842323
261880,Atelectasis,1960,0.6255984679221194
4192174,Illness,1951,0.6227258218959464
44784217,Cardiac arrhythmia,1914,0.6109160548994574
196523,Diarrhea,1912,0.6102776891158634
436230,Blood chemistry abnormal,1885,0.6016597510373444
437663,Fever,1876,0.5987871050111714
194133,Low back pain,1873,0.5978295563357804
442588,Obstructive sleep apnea syndrome,1861,0.5939993616342164
313217,Atrial fibrillation,1847,0.5895308011490584
317002,Low blood pressure,1834,0.5853814235556974
435515,Hypo-osmolality and or hyponatremia,1833,0.5850622406639004
31967,Nausea,1830,0.5841046919885095
764123,Atherosclerosis of coronary artery without angina pectoris,1819,0.5805936801787425
4223659,Fatigue,1786,0.5700606447494414
434894,Acute posthemorrhagic anemia,1783,0.5691030960740504
81902,Urinary tract infectious disease,1780,0.5681455473986594
4168694,Lung field abnormal,1756,0.5604851579955314
436962,Insomnia,1755,0.5601659751037344
319835,Congestive heart failure,1748,0.5579316948611555
437113,Asthenia,1741,0.5556974146185765
27674,Nausea and vomiting,1728,0.5515480370252155
433736,Obesity,1710,0.5458027449728695
433595,Edema,1705,0.5442068305138844
201826,Type 2 diabetes mellitus,1705,0.5442068305138844
75909,Disorder of bone,1705,0.5442068305138844
378253,Headache,1702,0.5432492818384934
42537748,Acquired absence of organ,1681,0.5365464411107564
314666,Old myocardial infarction,1673,0.5339929779763805
436659,Iron deficiency anemia,1666,0.5317586977338015
78232,Shoulder joint pain,1651,0.5269709543568465
433316,Dizziness and giddiness,1645,0.5250558570060645
257907,Disorder of lung,1639,0.5231407596552825
437390,Hypoxemia,1632,0.5209064794127035
438398,Leukocytosis,1614,0.5151611873603575
318800,Gastroesophageal reflux disease,1613,0.5148420044685605
134736,Backache,1612,0.5145228215767635
201618,Disorder of intestine,1609,0.5135652729013724
132797,Sepsis,1609,0.5135652729013724
140673,Hypothyroidism,1608,0.5132460900095754
4282096,"Major depression, single episode",1606,0.5126077242259814
40483287,Disorder of kidney and/or ureter,1604,0.5119693584423874
444239,Postprocedural state finding,1598,0.5100542610916055
4171917,Localized edema,1596,0.5094158953080115
46271022,Chronic kidney disease,1567,0.5001595914458985
140214,Eruption,1558,0.4972869454197255
443597,Chronic kidney disease stage 3,1549,0.4944142993935525
442077,Anxiety disorder,1535,0.4899457389083945
435517,Acidosis,1529,0.4880306415576125
4154290,Paroxysmal atrial fibrillation,1523,0.4861155442068305
440383,Depressive disorder,1516,0.4838812639642515
4305080,Abnormal breathing,1511,0.4822853495052665
31317,Dysphagia,1497,0.47781678902010855
255848,Pneumonia,1488,0.47494414299393556
437827,Pure hypercholesterolemia,1471,0.4695180338333865
4170554,Hip pain,1470,0.46919885094158953
44782429,Chronic kidney disease due to hypertension,1466,0.46792211937440154
45766714,Inflammatory dermatosis,1461,0.46632620491541654
4142875,Solitary nodule of lung,1446,0.46153846153846156
316139,Heart failure,1444,0.46090009575486757
80502,Osteoporosis,1444,0.46090009575486757
197988,Generalized abdominal pain,1429,0.45611235237791253
434004,Hypervolemia,1427,0.45547398659431854
376208,Disorder of soft tissue,1423,0.45419725502713054
432870,Thrombocytopenic disorder,1420,0.45323970635173955
435796,Dehydration,1412,0.45068624321736356
436222,Altered mental status,1398,0.4462176827322056
437833,Hypokalemia,1395,0.4452601340568146
4115173,Atrial premature complex,1394,0.4449409511650176
192450,Retention of urine,1393,0.4446217682732206
4322175,Late effect of complications of procedure,1392,0.4443025853814236
434610,Hyperkalemia,1390,0.4436642195978296
138384,Acquired hypothyroidism,1390,0.4436642195978296
24134,Neck pain,1388,0.44302585381423554
316999,Conduction disorder of the heart,1385,0.44206830513884454
4000609,Disorder of upper gastrointestinal tract,1383,0.44142993935525054
436070,Vitamin D deficiency,1365,0.43568464730290457
4079750,Osteoarthritis of knee,1345,0.4293009894669646
257011,Acute upper respiratory infection,1344,0.4289818065751676
4188331,Chronic pulmonary edema,1343,0.4286626236833706
37311319,Hypovolemia,1340,0.42770507500797955
4089462,Ventricular premature complex,1326,0.42323651452282157
372887,Disorder of brain,1324,0.4225981487392276
255573,Chronic obstructive lung disease,1324,0.4225981487392276
313459,Sleep apnea,1319,0.4210022342802426
80180,Osteoarthritis,1311,0.4184487711458666
4152351,"Abdominal distension, gaseous",1303,0.4158953080114906
135777,Neoplasm of uncertain behavior of skin,1299,0.4146185764443026
4150125,Persistent pain following procedure,1292,0.41238429620172357
434547,Complication of surgical procedure,1280,0.4085541015001596
138525,Pain in limb,1276,0.4072773699329716
4275423,Supraventricular tachycardia,1266,0.4040855410150016
194984,Disease of liver,1263,0.4031279923396106
373995,Delirium,1259,0.4018512607724226
197381,Epigastric pain,1254,0.4002553463134376
78508,Arthralgia of the ankle and/or foot,1251,0.3992977976380466
43531578,Chronic kidney disease due to type 2 diabetes mellitus,1245,0.39738270028726463
200174,Disorder of skin and/or subcutaneous tissue,1242,0.3964251516118736
314059,Right bundle branch block,1239,0.3954676029364826
4201745,Disorder of digestive system,1239,0.3954676029364826
4174262,Polyneuropathy,1233,0.3935525055857006
