disease_id,disease_name,community,degree,clustering
439777,Anemia,0,2247,0.15990688683159618
254061,Pleural effusion,0,2171,0.1685668011725574
200219,Abdominal pain,0,2080,0.18208041958041957
197320,Acute renal failure syndrome,0,2070,0.18421464312148741
4272240,Malaise,0,2065,0.18629005011543442
75860,Constipation,0,2042,0.18867141330443826
444070,Tachycardia,0,2037,0.18916209264172726
261880,Atelectasis,0,1960,0.19994374472606807
44784217,Cardiac arrhythmia,0,1914,0.20646885605336857
196523,Diarrhea,0,1912,0.21111315462779898
437663,Fever,0,1876,0.21498564321250888
435515,Hypo-osmolality and or hyponatremia,0,1833,0.22155080201164007
31967,Nausea,0,1830,0.22291795510700405
81902,Urinary tract infectious disease,0,1780,0.22909537614238526
4168694,Lung field abnormal,0,1756,0.22878855726236136
436962,Insomnia,0,1755,0.23720856195200551
27674,Nausea and vomiting,0,1728,0.2426916457569324
433595,Edema,0,1705,0.24784395522696295
436659,Iron deficiency anemia,0,1666,0.2586259729116872
257907,Disorder of lung,0,1639,0.25752472732338505
437390,Hypoxemia,0,1632,0.2604425890527885
438398,Leukocytosis,0,1614,0.26391593703882105
132797,Sepsis,0,1609,0.26599831791941475
201618,Disorder of intestine,0,1609,0.26868531797197975
40483287,Disorder of kidney and/or ureter,0,1604,0.2675796472636251
444239,Postprocedural state finding,0,1598,0.2592423372045364
140214,Eruption,0,1558,0.2798624457190723
435517,Acidosis,0,1529,0.28283551169535576
440383,Depressive disorder,0,1516,0.28535141113055895
4305080,Abnormal breathing,0,1511,0.2886417924185115
4142875,Solitary nodule of lung,0,1446,0.30682038985962945
197988,Generalized abdominal pain,0,1429,0.3125209495974737
432870,Thrombocytopenic disorder,0,1420,0.30659361383239536
435796,Dehydration,0,1412,0.31812870545672106
436222,Altered mental status,0,1398,0.3160881226171348
437833,Hypokalemia,0,1395,0.32390737569614786
4322175,Late effect of complications of procedure,0,1392,0.32010585289670046
372887,Disorder of brain,0,1324,0.33934594314395783
194984,Disease of liver,0,1263,0.34979227131336477
373995,Delirium,0,1259,0.359025193487652
4233565,Severe protein-calorie malnutrition (Gomez: less than 60 percent of standard weight),0,1232,0.36818471942354963
40481919,Coronary atherosclerosis,0,1208,0.3707978294386498
317576,Coronary arteriosclerosis,0,1197,0.3752525125522837
4113821,Anxiety state,0,1158,0.38164629804613504
4168700,Localized enlarged lymph nodes,0,1146,0.3743889892315782
192671,Gastrointestinal hemorrhage,0,1143,0.39430447726433493
434814,Late effect of medical and surgical care complication,0,1133,0.38728133508400414
200528,Ascites,0,1129,0.3901148948733895
40321716,Secondary thrombocytopenia,0,1069,0.4303069479334181
132736,Bacteremia,0,1047,0.42265527839716865
196236,Septic shock,0,1032,0.4434206272227611
443410,Infective pneumonia,0,1024,0.40934865285923755
4187218,Pneumonitis due to inhaled substance,0,1015,0.45042508331633
315085,Lymphadenopathy,0,1002,0.4273730261754214
442165,Loss of appetite,0,995,0.4614319080311012
438567,Adult failure to thrive syndrome,0,951,0.47414245392661464
372892,Metabolic encephalopathy,0,934,0.49997360635834304
192963,Disorder of pancreas,0,925,0.4775242775242775
40481101,Erythema of skin,0,918,0.49538729826111955
438791,Pulmonary congestion and hypostasis,0,915,0.4497877581279669
432881,Pancytopenia,0,911,0.4646288947057333
198263,Right upper quadrant pain,0,906,0.4976034539533863
44784439,Benign hypertensive renal disease with renal failure,0,904,0.4698889640235596
441408,Vomiting,0,899,0.5014604200163012
43530621,Acute postoperative pain,0,897,0.4688296305144131
314754,Wheezing,0,890,0.5133150491020083
441258,Anemia in neoplastic disease,0,885,0.48174195362630057
81611,Diverticular disease of colon,0,869,0.5067241863893559
43531681,Acute deep vein thrombosis of lower limb,0,867,0.4992581464048736
40481385,Imaging of abdomen abnormal,0,855,0.49248257255159755
201620,Kidney stone,0,849,0.5214486521323644
432582,Neoplastic disease of uncertain behavior,0,848,0.49723775367000067
201418,"Flatulence, eructation and gas pain",0,843,0.5164622446133169
29735,Candidiasis of mouth,0,837,0.5279249769911909
4043371,Inflammatory disorder of digestive tract,0,832,0.5131097843191706
319843,Mitral valve disorder,0,823,0.5393418535829689
197917,Disorder of biliary tract,0,822,0.5070577392118685
317248,Disorder of hematopoietic structure,0,819,0.5086619438697678
40482267,Imaging of gastrointestinal tract abnormal,0,819,0.536753927951972
133299,Swelling of limb,0,816,0.5128262961626369
316429,Premature beats,0,809,0.536348505060642
440320,Infection due to Escherichia coli,0,806,0.5303546383490283
438028,Poisoning by drug AND/OR medicinal substance,0,795,0.5610284682286963
44784631,Pain due to neoplastic disease,0,793,0.5096488211242309
433968,Candidiasis,0,793,0.5427031984409033
256449,Bronchiectasis,0,790,0.5314305883107924
441872,Supraventricular premature beats,0,788,0.5590464334780281
4206148,Syncope and collapse,0,783,0.5513289107080447
4166126,"Localized swelling, mass and lump, trunk",0,782,0.5475077856116003
192353,Disorder of gallbladder,0,776,0.5539275024941802
443392,Malignant neoplastic disease,0,764,0.5226167031489093
199074,Acute pancreatitis,0,748,0.5775365275719634
253797,Post-inflammatory pulmonary fibrosis,0,724,0.586892398921009
439392,Primary malignant neoplasm,0,722,0.528252158244359
438867,Generalized aches and pains,0,715,0.5924585218702866
432851,Secondary malignant neoplastic disease,0,714,0.5217587736356815
200527,Splenomegaly,0,707,0.5997251283201974
