disease_id,disease_name,degree,betweenness_centrality,betweenness_weighted
320128,Essential hypertension,1381,0.11665627809907618,0.5290529136615711
432867,Hyperlipidemia,1300,0.07744161712698193,0.20081109499831462
320536,Electrocardiogram abnormal,1316,0.07723965119569477,0.3037461534734725
437677,Abnormal findings on diagnostic imaging of lung,1028,0.02685703658869252,0.03895524121210604
312437,Dyspnea,1047,0.025253734993048237,0.038999558122216
439777,Anemia,962,0.019917402283333826,0.006723291242051121
314658,Cardiomegaly,956,0.01848675043497897,0.006923747138489557
77670,Chest pain,950,0.01808113634121916,0.0031439710252046424
254061,Pleural effusion,938,0.017979178881689074,0.013969026441649244
197320,Acute renal failure syndrome,940,0.017652098176237748,0.004628046602391395
313217,Atrial fibrillation,918,0.016734413300398546,0.008332687548154326
4144111,Gastroesophageal reflux disease without esophagitis,856,0.014838604101268575,0.0034001837496932456
75860,Constipation,862,0.013769124690587132,0.004855207021765695
319835,Congestive heart failure,916,0.013462575172580557,0.007105859725450294
254761,Cough,824,0.012237527733821764,0.009071628369079494
764123,Atherosclerosis of coronary artery without angina pectoris,877,0.012218309785666502,0.0016743541435879728
4193704,Type 2 diabetes mellitus without complication,788,0.012037505970783784,0.002036923202832675
438485,Postoperative state,796,0.01163477085353589,0.008980884984413262
436096,Chronic pain,744,0.010223753460057893,0.006378150597521268
44784217,Cardiac arrhythmia,795,0.009444413738720464,0.000529490685794932
317002,Low blood pressure,784,0.008870646570492786,0.004169161576551722
444070,Tachycardia,764,0.008341446613766101,0.0005352859280052759
81902,Urinary tract infectious disease,730,0.008127475507986145,0.0007875347299769862
4272240,Malaise,770,0.0077043599790810515,0.0004249308306233603
4192174,Illness,653,0.0075278663644083085,0.0005502091231864739
261880,Atelectasis,741,0.007148606078179056,0.00043638159494764953
314666,Old myocardial infarction,717,0.0065783557747326514,0.00030644367186566856
443597,Chronic kidney disease stage 3,752,0.00643974497625526,0.00042913748099999006
433595,Edema,751,0.0061364654044519075,0.00025719132283957114
200219,Abdominal pain,657,0.006107744534652856,0.0003243922128670693
194133,Low back pain,653,0.005533431283321386,0.0002654730560351016
4115173,Atrial premature complex,698,0.0054899319456793985,0.0002922828837740513
437113,Asthenia,690,0.005405511272197779,0.0002720414435743778
31317,Dysphagia,521,0.005219032003106332,0.005340305619571013
4154290,Paroxysmal atrial fibrillation,695,0.00519174919578553,0.0002998889183939415
435515,Hypo-osmolality and or hyponatremia,675,0.005079021673569001,0.0001897823778725556
201826,Type 2 diabetes mellitus,679,0.005006621525634504,0.0004359141443323049
436230,Blood chemistry abnormal,673,0.004952916860459264,0.00038659297250822635
4168694,Lung field abnormal,562,0.004620538105633452,0.0015427436319122444
4223659,Fatigue,632,0.0040685652672308075,0.00020296800808070447
46271022,Chronic kidney disease,643,0.003796649741045719,0.00013028166956774196
437663,Fever,597,0.003698996071131637,0.0001476337690796294
434894,Acute posthemorrhagic anemia,569,0.0036367715423956375,0.00012525756921778086
437390,Hypoxemia,622,0.003464275637969017,0.0001646223377137451
436962,Insomnia,579,0.0033766724273362556,7.153335727791658e-05
134736,Backache,549,0.003354076490666804,0.0014364521832062782
433316,Dizziness and giddiness,597,0.0032334084855723828,8.48035692026907e-05
27674,Nausea and vomiting,559,0.0032289680098414883,0.00010922455820441659
44782429,Chronic kidney disease due to hypertension,574,0.003115456829898934,0.00011451927808039204
31967,Nausea,540,0.003007830815881878,0.00011778099008468252
316139,Heart failure,596,0.0029418100086174505,7.018106540626696e-05
4089462,Ventricular premature complex,600,0.002921563699610894,6.626553486192072e-05
436659,Iron deficiency anemia,626,0.0028488293600589633,3.148146218053676e-05
42537748,Acquired absence of organ,551,0.0028395694886277772,0.00011607759453733816
374034,Visual disturbance,149,0.0026851703919576813,0.002636780828478626
4171917,Localized edema,535,0.002645629184694866,0.00013163014800087288
435796,Dehydration,534,0.0026059338398518365,0.0014155294436415402
438398,Leukocytosis,474,0.0025841049532434822,0.00011703629842818431
40483287,Disorder of kidney and/or ureter,533,0.0025417162551579493,5.927035333490936e-05
436222,Altered mental status,557,0.002525268268896283,5.9890196061464906e-05
196523,Diarrhea,559,0.0025029606077047544,6.323976377565728e-05
437827,Pure hypercholesterolemia,503,0.0024856496821054554,4.399441074902816e-05
40479192,Chronic systolic heart failure,567,0.0024169520309431213,7.534402081485103e-05
75909,Disorder of bone,487,0.0024158657091368856,0.001399394104989862
372448,Loss of consciousness,546,0.002413358818909667,0.0013476834785111653
255848,Pneumonia,518,0.002408463461858905,0.00018928309580536608
435517,Acidosis,547,0.002403348568304128,0.0013362173268588267
257907,Disorder of lung,400,0.0023680500345958457,0.0013811136615415722
433736,Obesity,509,0.0023669835979103285,4.9780216745132226e-05
442588,Obstructive sleep apnea syndrome,540,0.002336970132726748,5.70109425092803e-05
40481919,Coronary atherosclerosis,483,0.002306471115279521,9.700627909252618e-05
4305080,Abnormal breathing,528,0.002262147532890574,6.594338905112102e-05
373995,Delirium,510,0.002235968238785296,6.898467144622432e-05
4170554,Hip pain,438,0.0021829547036381074,5.6151739058816036e-05
80502,Osteoporosis,395,0.002169921347773729,0.00010501810326779631
40479576,Chronic diastolic heart failure,574,0.0021470872748179143,2.3481412801953428e-05
316999,Conduction disorder of the heart,552,0.0021160511626363695,2.6514833181401127e-05
132797,Sepsis,521,0.0020906046967565277,0.00016867754853373249
135777,Neoplasm of uncertain behavior of skin,354,0.0020811868362726276,0.0013399919328680758
140673,Hypothyroidism,463,0.0020437694677991236,3.532368275438889e-05
192450,Retention of urine,475,0.0020270719341393337,5.1536287454307315e-05
4079750,Osteoarthritis of knee,447,0.0019483661505246466,0.0013501284636567687
255573,Chronic obstructive lung disease,490,0.0019349457253329404,0.00010288794054085687
318800,Gastroesophageal reflux disease,478,0.0019314485024211686,0.001334170786836816
24134,Neck pain,436,0.0019234176266023303,5.270893969658305e-05
138825,Actinic keratosis,346,0.0019039236462007228,0.0013760185428647474
4168700,Localized enlarged lymph nodes,384,0.0018633225285424775,5.167711142266381e-05
138384,Acquired hypothyroidism,282,0.0018355638036085921,0.0013231314433017718
317576,Coronary arteriosclerosis,457,0.0018240390263236123,7.893367967202299e-05
437833,Hypokalemia,485,0.0017949834411810884,2.0098152546753603e-05
201618,Disorder of intestine,473,0.0017798288568247553,3.705135680484601e-05
378253,Headache,486,0.0017691679366947446,2.1136110440951217e-05
43531578,Chronic kidney disease due to type 2 diabetes mellitus,525,0.0017052046180805996,6.086871000078884e-05
4233565,Severe protein-calorie malnutrition (Gomez: less than 60 percent of standard weight),507,0.0017019561130478854,4.339817441017786e-05
314059,Right bundle branch block,492,0.0016693571925409285,2.7881528025722172e-05
78232,Shoulder joint pain,479,0.0016645967552610177,0.001359241275785697
4282096,"Major depression, single episode",451,0.0016437211483987155,0.0026528708690599025
432870,Thrombocytopenic disorder,503,0.0016327724835568556,7.045934231858628e-05
141941,Cervical spondylosis without myelopathy,256,0.0016309049563231635,0.0013247420671203942
136788,Spinal stenosis of lumbar region,391,0.0016201167421759138,0.0026749498357298974
77646,Disorder of bone and articular cartilage,232,0.0016192998097104225,0.0013224561713615763
440383,Depressive disorder,415,0.001603334222180038,4.635377809964398e-05
443454,Cerebral infarction,403,0.0015674570963947422,0.0013767935474092898
80180,Osteoarthritis,477,0.0015620257243091145,4.1882462004880685e-05
4201745,Disorder of digestive system,457,0.0014993259251288038,1.8394594675598004e-05
4000609,Disorder of upper gastrointestinal tract,427,0.0014576337228844323,4.230084398061617e-05
439696,Hypertensive heart and renal disease with (congestive) heart failure,506,0.0014470472376271225,2.641702970969382e-05
197672,Urinary incontinence,456,0.001434368107929571,3.412250344121538e-05
444101,Hypertensive heart failure,504,0.0014265453240906707,1.0298677057289902e-05
194984,Disease of liver,425,0.00140614310597799,4.200655845057544e-05
135526,Spinal cord disease,77,0.0013643347712132697,0.0018244576059566
4141360,Chronic atrial fibrillation,483,0.0013124967985704969,4.611809840602158e-06
377889,Hearing loss,460,0.0013035144059885101,1.681985545097241e-05
321319,Cardiomyopathy,484,0.0013026597324175622,1.4377889052542324e-05
198803,Benign prostatic hyperplasia,456,0.001296761148853378,1.030812027050173e-05
37311319,Hypovolemia,480,0.0012708115478111026,1.4462458469301152e-05
4164898,Diverticulosis of large intestine without diverticulitis,345,0.0012642236281311732,5.443191974971801e-05
4268911,Disorientated,441,0.001231833160751106,2.9799828060465117e-05
4229440,Chronic congestive heart failure,479,0.0012165887923350062,1.0222199075054616e-05
4188331,Chronic pulmonary edema,481,0.0012088483813411884,3.686538400169505e-05
45766714,Inflammatory dermatosis,428,0.001183628732052229,1.3003467501806943e-05
42537730,Coronary artery graft present,448,0.0011435243105955588,7.273244075758965e-06
314379,First degree atrioventricular block,436,0.0011379547602182636,5.9203836002049726e-06
4152351,"Abdominal distension, gaseous",359,0.0011311429003174902,4.890990418303043e-06
4182210,Dementia,373,0.0011228507346477965,4.4414757438946706e-05
444239,Postprocedural state finding,390,0.0011199137008850433,2.9762171545553737e-05
4322175,Late effect of complications of procedure,396,0.0011048952668392348,3.439235309190114e-05
314665,Atrial flutter,471,0.001087232020011088,1.0522773326214932e-05
44784439,Benign hypertensive renal disease with renal failure,413,0.0010463810255127637,1.6229014456646814e-05
442077,Anxiety disorder,393,0.0010447043226452565,0.0013598063863304196
140214,Eruption,449,0.0010295317679776448,3.6068199112694126e-06
197988,Generalized abdominal pain,382,0.001026517003828639,2.836732975973813e-05
192963,Disorder of pancreas,345,0.0009981129877260756,4.040245713225676e-05
443211,Benign prostatic hyperplasia with outflow obstruction,398,0.0009731411882671749,0.0013327665317006733
42537729,Aortocoronary bypass graft present,415,0.0009558172339045657,5.679202170751061e-06
319041,Orthostatic hypotension,392,0.0009525178690580903,1.908709529075787e-05
443782,Tremor,181,0.0009495118522194947,0.0013175196147583094
79864,Hematuria syndrome,406,0.0009417837467171743,2.3293532471569697e-05
315078,Palpitations,415,0.0009235476416192683,2.8849815574375038e-06
43530621,Acute postoperative pain,290,0.0009234757365032159,4.4876874535434055e-05
376208,Disorder of soft tissue,444,0.0009124592585484022,6.45916854294761e-06
443601,Chronic kidney disease stage 2,388,0.0008749439017297032,1.1933379092679813e-05
200174,Disorder of skin and/or subcutaneous tissue,425,0.0008725867889673952,1.592124380075998e-05
4152384,Non-rheumatic aortic sclerosis,415,0.0008704548313650925,9.209283256410922e-06
4275423,Supraventricular tachycardia,398,0.0008577182986032694,6.100510315574902e-06
4134121,Lumbar radiculopathy,354,0.0008539593765954125,1.8562573684180828e-05
434610,Hyperkalemia,397,0.0008517538880003934,1.5383180935224263e-05
439147,Amnesia,337,0.0008456167711067638,1.0234312789238465e-05
141932,Senile hyperkeratosis,335,0.0008417731195836123,1.748129958114545e-05
4142875,Solitary nodule of lung,371,0.0008386493876258718,6.681268335254624e-06
372887,Disorder of brain,295,0.0008232913925103996,2.3527135977826953e-05
312934,Atherosclerosis of aorta,390,0.0008142067163302264,5.957644871932079e-06
440674,Gout,391,0.0008082864489694122,7.445328904084061e-06
435788,Disorder of phosphorus metabolism,331,0.0007981037504694139,7.314715640429477e-06
192671,Gastrointestinal hemorrhage,365,0.0007947717150659328,1.6172681472192953e-05
438720,Mixed hyperlipidemia,348,0.0007708467824075676,5.0288670027952655e-06
136497,Scar conditions and fibrosis of skin,180,0.0007557004859624033,0.001191479675962029
321052,Peripheral vascular disease,371,0.0007350926709282582,2.392804230333766e-05
442165,Loss of appetite,337,0.000719484868554407,9.780231311619279e-06
194081,Acute cystitis,358,0.0007035343935100461,3.1310770227669822e-06
436070,Vitamin D deficiency,379,0.0007023929926022668,4.27866633880375e-06
4270024,Acute non-ST segment elevation myocardial infarction,397,0.0007022580100136945,2.335932415088088e-06
4180628,Disorder of body system,396,0.0006968008310633156,6.3573074231659876e-06
375415,Injury of head,378,0.000693633376764598,9.368605955924973e-06
440417,Pulmonary embolism,362,0.000674374754197271,2.363507908741187e-06
4311499,Primary malignant neoplasm of respiratory tract,281,0.000665773983994968,7.69150387740215e-05
4103295,Ventricular tachycardia,405,0.0006649925209307585,3.3127089676337573e-06
4346975,Lumbar spondylosis,321,0.000655467718850255,8.073555188161107e-06
197917,Disorder of biliary tract,295,0.0006549656111721872,3.219994697044776e-05
434814,Late effect of medical and surgical care complication,332,0.0006518006637573349,1.2999026230824347e-05
200843,Finding of frequency of urination,378,0.0006440779181626918,7.9823285758655e-07
138525,Pain in limb,265,0.0006383408761295111,7.716250956669984e-06
439392,Primary malignant neoplasm,229,0.0006228713882976528,2.178069924092547e-05
434004,Hypervolemia,393,0.00061518083543829,8.133826963264178e-06
435829,Rheumatic disease of heart valve,329,0.0005964145584816756,8.620914861934741e-06
80813,Lumbosacral spondylosis without myelopathy,227,0.0005945393784785029,1.3352258708720476e-05
257007,Allergic rhinitis,342,0.000591207294685314,9.634119394039975e-06
37119138,Iron deficiency anemia due to blood loss,335,0.0005908289749917222,1.2172141890548124e-05
4094683,Chest injury,213,0.000588572325466252,0.0025582492286167933
437247,Anemia of chronic disease,360,0.0005803473588548692,6.490585463390395e-06
37016349,Hyperglycemia due to type 2 diabetes mellitus,367,0.0005784543962061256,4.892626724517347e-06
441258,Anemia in neoplastic disease,327,0.0005770037840718103,5.0167725655591056e-06
432851,Secondary malignant neoplastic disease,274,0.0005707620909021123,1.2733086350474475e-05
197684,Dysuria,342,0.0005637603650010929,2.6858744226106567e-06
4153380,Disorder of carotid artery,303,0.0005545904164006774,3.6234933959534914e-06
438567,Adult failure to thrive syndrome,321,0.000553228485978707,8.948155778010266e-06
319843,Mitral valve disorder,267,0.0005465034457583573,1.1101719544991311e-05
434547,Complication of surgical procedure,330,0.0005437009552972824,5.187250968227481e-06
42538119,Transplanted heart valve present,368,0.0005430785496707204,2.561601806618657e-06
4169095,Bradycardia,352,0.0005400843446265329,3.4570082115733773e-06
200962,Primary malignant neoplasm of prostate,338,0.0005384718377709643,2.8968219098577777e-06
261600,Acute pulmonary edema,376,0.0005379005857058924,4.185086083777272e-06
312327,Acute myocardial infarction,288,0.0005326639783376699,5.748951189009706e-06
4098604,Hypomagnesemia,343,0.0005240382759209971,1.548087966228461e-06
438791,Pulmonary congestion and hypostasis,290,0.0005104590887991886,1.9472869020387293e-05
4059015,Falls,245,0.0005009503121963376,3.4106313005970782e-06
442019,Complication of procedure,327,0.0004948093851777255,5.857540145269709e-06
40480602,Acute on chronic systolic heart failure,355,0.0004863157005571922,4.459070733859816e-06
44782719,Chronic combined systolic and diastolic heart failure,363,0.00048418810391552146,3.2811470672734137e-06
314054,Aortic valve disorder,301,0.0004814269548831461,1.1238647664625352e-05
36712983,Angina co-occurrent and due to coronary arteriosclerosis,361,0.00046891162371295295,1.0691482516765308e-06
37016114,Acute on chronic hypoxemic respiratory failure,314,0.00045519155986167425,1.5383405199387452e-05
601619,Pain of right knee joint,293,0.0004544783420761092,3.0270648625360075e-06
40321716,Secondary thrombocytopenia,309,0.0004533438136257645,3.664077896214819e-06
442752,Muscle pain,280,0.00044271878313873007,9.753990853288117e-06
196456,Gallstone,250,0.00044221171080677696,1.178753092334952e-05
4322024,Pulmonary hypertension,329,0.0004340101055379386,5.077445674194314e-06
45768812,Anemia in chronic kidney disease,369,0.0004286960113297854,1.1937756822922938e-05
313459,Sleep apnea,274,0.00042667653917153074,1.426659816377416e-05
4295336,Left anterior fascicular block,336,0.0004243497447428737,2.0263365700811816e-06
46271075,Acute hypoxemic respiratory failure,315,0.00042279333629644737,8.319201545252382e-06
195562,Hemorrhoids,318,0.0004168029430871431,2.3142155904244777e-06
441872,Supraventricular premature beats,302,0.0004163298673522001,3.1671556451692383e-06
45766207,Non-rheumatic mitral valve stenosis with regurgitation,334,0.00041541441029682247,1.7298814942431547e-06
320420,Vitreous degeneration,58,0.00041451502283449353,8.707994810035093e-07
199754,Primary malignant neoplasm of pancreas,244,0.00040838920433139864,1.3699950218668055e-05
319844,Acute ischemic heart disease,335,0.0003907040220868975,1.753161775628402e-06
135618,Pruritic rash,313,0.0003887944776074432,1.4794376367736872e-06
197381,Epigastric pain,272,0.0003831182016531123,4.3539974050175463e-07
314664,Long QT syndrome,342,0.000381704701369861,1.285842870001286e-06
316998,Left bundle branch block,350,0.0003789398531020414,9.551149863070235e-07
37311061,COVID-19,260,0.00037837627970663425,3.3898979796208035e-06
4150125,Persistent pain following procedure,285,0.00037579229742358,6.479162805085634e-07
375545,Cataract,184,0.0003696022904364272,4.7893971455193e-06
40481043,Acute on chronic diastolic heart failure,341,0.00036927648542366706,6.460157260857383e-07
4232697,Persistent atrial fibrillation,323,0.0003637604088499625,3.7406463253533436e-06
200528,Ascites,284,0.00036220479982556714,7.1937712680678795e-06
44782733,Acute on chronic combined systolic and diastolic heart failure,326,0.0003583544177758283,1.4182629981366796e-06
45768910,Uncomplicated asthma,207,0.00035815202575026106,8.163745134407897e-06
196236,Septic shock,302,0.00035089329198075724,9.951994068611534e-07
4187218,Pneumonitis due to inhaled substance,284,0.00035017441722996095,1.505877051215226e-06
4158911,Non-rheumatic heart valve disorder,337,0.00034811033814112784,2.991977703960775e-07
432571,Malignant lymphoma,85,0.0003414459524951474,4.3539974050175463e-07
132736,Bacteremia,284,0.0003360511846905113,5.838880156391062e-06
4110815,"Sensorineural hearing loss, bilateral",295,0.00033321209958015434,1.2634131863996801e-06
198263,Right upper quadrant pain,248,0.0003312735056642285,4.880225040103825e-06
257011,Acute upper respiratory infection,328,0.00033045207144893,1.0006080992897466e-07
4058155,Bed-ridden,294,0.0003270870991151228,2.4513104704713423e-06
373503,Transient cerebral ischemia,279,0.0003182680017834549,2.0836630110104086e-06
434657,Weakness of face muscles,242,0.0003172827586063296,7.700499545974642e-06
40482267,Imaging of gastrointestinal tract abnormal,250,0.00031615970958466505,1.2481459227716965e-06
253796,Pneumothorax,267,0.0003104911299750331,4.910498588494356e-06
193326,Urge incontinence of urine,232,0.0003086668410529111,4.02744759964123e-06
4112752,Basal cell carcinoma of skin,213,0.0003063183004053233,3.771028614937808e-06
201072,Benign prostatic hyperplasia without outflow obstruction,291,0.0003045279072626726,3.481071429554932e-06
199074,Acute pancreatitis,273,0.0003042890537599825,3.854439554605877e-06
443392,Malignant neoplastic disease,257,0.00030207274616759935,5.7874902763745215e-06
4111921,Squamous cell carcinoma of skin,207,0.00030184906352250326,1.2755567490693339e-05
601622,Pain of left knee region,248,0.00029793178553762993,5.66019662652281e-07
44784631,Pain due to neoplastic disease,269,0.00029679332579888874,3.0867045744654873e-06
74130,Thoracic spondylosis without myelopathy,251,0.0002955211018505917,4.854707106594564e-06
4174262,Polyneuropathy,261,0.00029386244745721694,2.9462049107285395e-06
315085,Lymphadenopathy,241,0.00029250749864947865,6.289107362803121e-07
372892,Metabolic encephalopathy,302,0.0002877633356746684,4.726839711539164e-07
4214376,Hyperglycemia,271,0.00028654408921555894,4.341098362649983e-06
40304526,Nocturia,293,0.00028621116132617505,1.7115670607141127e-06
443587,Diastolic heart failure,321,0.0002846136714853067,5.231176369398371e-07
201061,Diaphragmatic hernia,223,0.0002831093840004318,3.7921244065605197e-06
435613,Cellulitis,255,0.00026801788790013206,4.018347855625202e-06
443410,Infective pneumonia,220,0.0002680072526170331,8.469451669378522e-06
4128329,Menopause present,238,0.00026534201167734915,4.3539974050175463e-07
4110961,Generalized ischemic myocardial dysfunction,326,0.000261211547973668,6.219996292882209e-08
135930,Musculoskeletal finding,302,0.0002576062678818438,9.34130352349219e-07
443612,Chronic kidney disease stage 4,317,0.0002542282506882765,2.3054074239311394e-06
372409,Sciatica,235,0.0002535223521712321,8.707994810035093e-07
194406,Urinary tract obstruction,231,0.00025285565018088777,6.0662241623081775e-06
381270,Parkinson's disease,38,0.0002496726549280535,4.789397145519301e-06
