disease_id,disease_name,degree,degree_centrality,strength,strength_norm
320128,Essential hypertension,1381,0.9109498680738787,11571.0,1.0
320536,Electrocardiogram abnormal,1316,0.8680738786279684,10943.0,0.9457263849278368
432867,Hyperlipidemia,1300,0.8575197889182058,10716.0,0.9261083743842364
312437,Dyspnea,1047,0.6906332453825857,7377.0,0.6375421311900441
437677,Abnormal findings on diagnostic imaging of lung,1028,0.6781002638522428,7018.0,0.606516290726817
439777,Anemia,962,0.6345646437994723,5878.0,0.5079941232391323
314658,Cardiomegaly,956,0.6306068601583114,6505.0,0.5621813153573589
77670,Chest pain,950,0.6266490765171504,5871.0,0.5073891625615764
197320,Acute renal failure syndrome,940,0.6200527704485488,5732.0,0.49537637196439377
254061,Pleural effusion,938,0.6187335092348285,6293.0,0.543859649122807
313217,Atrial fibrillation,918,0.6055408970976254,6208.0,0.5365136980381989
319835,Congestive heart failure,916,0.604221635883905,6347.0,0.5485264886353816
764123,Atherosclerosis of coronary artery without angina pectoris,877,0.5784960422163589,5677.0,0.4906231094978826
75860,Constipation,862,0.5686015831134564,4648.0,0.4016938898971567
4144111,Gastroesophageal reflux disease without esophagitis,856,0.5646437994722955,4695.0,0.4057557687321753
254761,Cough,824,0.5435356200527705,4378.0,0.37835969233428396
438485,Postoperative state,796,0.525065963060686,4485.0,0.3876069484054965
44784217,Cardiac arrhythmia,795,0.5244063324538258,4577.0,0.39555786016766054
4193704,Type 2 diabetes mellitus without complication,788,0.5197889182058048,4465.0,0.38587848932676516
317002,Low blood pressure,784,0.5171503957783641,4140.0,0.3577910292973814
4272240,Malaise,770,0.5079155672823219,4049.0,0.3499265404891539
444070,Tachycardia,764,0.503957783641161,3938.0,0.34033359260219515
443597,Chronic kidney disease stage 3,752,0.49604221635883905,4114.0,0.3555440324950307
433595,Edema,751,0.4953825857519789,3795.0,0.3279751101892663
436096,Chronic pain,744,0.49076517150395776,3974.0,0.3434448189439115
261880,Atelectasis,741,0.4887862796833773,4081.0,0.352692075015124
81902,Urinary tract infectious disease,730,0.4815303430079156,3740.0,0.32322184772275514
314666,Old myocardial infarction,717,0.4729551451187335,4109.0,0.35511191772534784
4115173,Atrial premature complex,698,0.4604221635883905,3601.0,0.31120905712557256
4154290,Paroxysmal atrial fibrillation,695,0.45844327176781,3788.0,0.3273701495117103
437113,Asthenia,690,0.4551451187335092,3295.0,0.28476363322098347
201826,Type 2 diabetes mellitus,679,0.4478891820580475,3529.0,0.3049866044421398
435515,Hypo-osmolality and or hyponatremia,675,0.44525065963060684,3359.0,0.2902947022729237
436230,Blood chemistry abnormal,673,0.44393139841688656,3234.0,0.279491833030853
200219,Abdominal pain,657,0.433377308707124,3053.0,0.2638492783683346
4192174,Illness,653,0.43073878627968337,3093.0,0.26730619652579723
194133,Low back pain,653,0.43073878627968337,2946.0,0.2546020222971221
46271022,Chronic kidney disease,643,0.4241424802110818,3212.0,0.27759052804424855
4223659,Fatigue,632,0.41688654353562005,3097.0,0.2676518883415435
436659,Iron deficiency anemia,626,0.4129287598944591,2747.0,0.23740385446374557
437390,Hypoxemia,622,0.4102902374670185,2953.0,0.2552069829746781
4089462,Ventricular premature complex,600,0.39577836411609496,2843.0,0.24570045804165586
433316,Dizziness and giddiness,597,0.3937994722955145,2733.0,0.23619393310863365
437663,Fever,597,0.3937994722955145,2812.0,0.24302134646962234
316139,Heart failure,596,0.39313984168865435,2980.0,0.25754040273096535
436962,Insomnia,579,0.38192612137203164,2523.0,0.21804511278195488
44782429,Chronic kidney disease due to hypertension,574,0.3786279683377309,2586.0,0.2234897588799585
40479576,Chronic diastolic heart failure,574,0.3786279683377309,2823.0,0.24397199896292454
434894,Acute posthemorrhagic anemia,569,0.37532981530343007,2743.0,0.2370581626479993
40479192,Chronic systolic heart failure,567,0.3740105540897098,3253.0,0.28113386915564775
4168694,Lung field abnormal,562,0.370712401055409,2707.0,0.23394693630628294
196523,Diarrhea,559,0.3687335092348285,2289.0,0.19782214156079855
27674,Nausea and vomiting,559,0.3687335092348285,2453.0,0.2119955060063953
436222,Altered mental status,557,0.36741424802110817,2494.0,0.21553884711779447
316999,Conduction disorder of the heart,552,0.3641160949868074,2526.0,0.2183043816437646
42537748,Acquired absence of organ,551,0.3634564643799472,2534.0,0.2189957652752571
134736,Backache,549,0.36213720316622694,2309.0,0.19955060063952987
435517,Acidosis,547,0.3608179419525066,2495.0,0.21562527007173105
372448,Loss of consciousness,546,0.36015831134564646,2481.0,0.21441534871661913
31967,Nausea,540,0.3562005277044855,2239.0,0.19350099386397027
442588,Obstructive sleep apnea syndrome,540,0.3562005277044855,2624.0,0.22677383112954802
4171917,Localized edema,535,0.3529023746701847,2175.0,0.18796992481203006
435796,Dehydration,534,0.35224274406332456,2288.0,0.19773571860686198
40483287,Disorder of kidney and/or ureter,533,0.35158311345646437,2374.0,0.2051680926454066
4305080,Abnormal breathing,528,0.3482849604221636,2332.0,0.20153832858007087
43531578,Chronic kidney disease due to type 2 diabetes mellitus,525,0.34630606860158314,2400.0,0.20741508944775733
31317,Dysphagia,521,0.34366754617414247,2117.0,0.18295739348370926
132797,Sepsis,521,0.34366754617414247,2390.0,0.20655085990839167
255848,Pneumonia,518,0.341688654353562,2163.0,0.1869328493647913
373995,Delirium,510,0.33641160949868076,2164.0,0.18701927231872786
433736,Obesity,509,0.33575197889182057,2318.0,0.20032840722495895
4233565,Severe protein-calorie malnutrition (Gomez: less than 60 percent of standard weight),507,0.3344327176781003,2027.0,0.17517932762941837
