condition_concept_id,disease_name,num_patients,num_occurrences
320128,Essential hypertension,606,11220
432867,Hyperlipidemia,528,6222
320536,Electrocardiogram abnormal,481,2706
437677,Abnormal findings on diagnostic imaging of lung,300,2234
312437,Dyspnea,298,4563
254061,Pleural effusion,271,1891
4193704,Type 2 diabetes mellitus without complication,257,4270
77670,Chest pain,253,1932
439777,Anemia,246,1903
314658,Cardiomegaly,236,905
438485,Postoperative state,230,1514
313217,Atrial fibrillation,224,3785
436096,Chronic pain,220,2232
197320,Acute renal failure syndrome,219,2311
4144111,Gastroesophageal reflux disease without esophagitis,214,1336
319835,Congestive heart failure,207,3020
764123,Atherosclerosis of coronary artery without angina pectoris,203,2995
4192174,Illness,201,611
261880,Atelectasis,197,434
75860,Constipation,192,1011
442588,Obstructive sleep apnea syndrome,188,2323
44784217,Cardiac arrhythmia,184,726
254761,Cough,184,1549
444070,Tachycardia,180,509
200219,Abdominal pain,174,727
4168694,Lung field abnormal,173,831
433736,Obesity,169,791
434894,Acute posthemorrhagic anemia,169,581
194133,Low back pain,167,1283
4272240,Malaise,166,1022
201826,Type 2 diabetes mellitus,163,3226
81902,Urinary tract infectious disease,161,910
317002,Low blood pressure,155,495
314666,Old myocardial infarction,154,594
436230,Blood chemistry abnormal,154,1012
437663,Fever,151,1039
436962,Insomnia,146,778
435515,Hypo-osmolality and or hyponatremia,145,691
42537748,Acquired absence of organ,141,708
75909,Disorder of bone,139,990
27674,Nausea and vomiting,139,631
46271022,Chronic kidney disease,138,1543
257907,Disorder of lung,138,641
437390,Hypoxemia,138,856
196523,Diarrhea,133,879
31967,Nausea,133,561
140673,Hypothyroidism,132,2396
443597,Chronic kidney disease stage 3,131,1487
4223659,Fatigue,131,913
40483287,Disorder of kidney and/or ureter,128,834
444239,Postprocedural state finding,128,424
438398,Leukocytosis,128,379
433595,Edema,128,789
4154290,Paroxysmal atrial fibrillation,123,1871
435517,Acidosis,122,377
316139,Heart failure,121,1115
440383,Depressive disorder,121,646
437827,Pure hypercholesterolemia,121,1168
318800,Gastroesophageal reflux disease,121,627
4079750,Osteoarthritis of knee,120,1200
132797,Sepsis,120,778
378253,Headache,119,553
437113,Asthenia,119,431
433316,Dizziness and giddiness,118,606
78232,Shoulder joint pain,117,1319
436070,Vitamin D deficiency,117,742
4282096,"Major depression, single episode",117,779
138384,Acquired hypothyroidism,115,1363
134736,Backache,115,550
442077,Anxiety disorder,114,766
255573,Chronic obstructive lung disease,113,1352
432870,Thrombocytopenic disorder,112,591
80502,Osteoporosis,110,1670
31317,Dysphagia,106,788
4305080,Abnormal breathing,106,618
436659,Iron deficiency anemia,103,1121
40481919,Coronary atherosclerosis,103,1080
4142875,Solitary nodule of lung,102,780
317576,Coronary arteriosclerosis,102,425
437833,Hypokalemia,101,438
201618,Disorder of intestine,101,434
44782429,Chronic kidney disease due to hypertension,101,348
4188331,Chronic pulmonary edema,100,337
194984,Disease of liver,100,443
4115173,Atrial premature complex,99,216
4089462,Ventricular premature complex,99,303
4170554,Hip pain,97,1410
4150125,Persistent pain following procedure,97,502
24134,Neck pain,97,541
436222,Altered mental status,96,519
140214,Eruption,96,732
434004,Hypervolemia,95,398
434610,Hyperkalemia,94,607
4171917,Localized edema,92,434
316999,Conduction disorder of the heart,91,212
4322175,Late effect of complications of procedure,91,191
43531578,Chronic kidney disease due to type 2 diabetes mellitus,91,759
435796,Dehydration,90,485
255848,Pneumonia,88,663
372887,Disorder of brain,88,296
4168700,Localized enlarged lymph nodes,87,275
192450,Retention of urine,86,449
138525,Pain in limb,86,362
200528,Ascites,86,501
434547,Complication of surgical procedure,86,116
373995,Delirium,84,306
4275423,Supraventricular tachycardia,84,457
45766714,Inflammatory dermatosis,83,424
80180,Osteoarthritis,83,405
40479192,Chronic systolic heart failure,83,806
198803,Benign prostatic hyperplasia,82,397
4000609,Disorder of upper gastrointestinal tract,81,224
601622,Pain of left knee region,80,785
376208,Disorder of soft tissue,79,312
253796,Pneumothorax,79,362
4201745,Disorder of digestive system,79,247
314059,Right bundle branch block,79,270
37311061,COVID-19,79,501
438720,Mixed hyperlipidemia,79,655
42537729,Aortocoronary bypass graft present,78,572
434814,Late effect of medical and surgical care complication,77,312
45768910,Uncomplicated asthma,77,501
313459,Sleep apnea,77,356
439696,Hypertensive heart and renal disease with (congestive) heart failure,77,183
312934,Atherosclerosis of aorta,76,172
136788,Spinal stenosis of lumbar region,76,1086
4214376,Hyperglycemia,76,279
601619,Pain of right knee joint,76,723
443601,Chronic kidney disease stage 2,75,392
197988,Generalized abdominal pain,74,350
37016349,Hyperglycemia due to type 2 diabetes mellitus,74,977
4152351,"Abdominal distension, gaseous",72,252
192671,Gastrointestinal hemorrhage,72,593
4169095,Bradycardia,72,278
444101,Hypertensive heart failure,71,170
37311319,Hypovolemia,71,87
77646,Disorder of bone and articular cartilage,70,331
197381,Epigastric pain,70,363
314665,Atrial flutter,70,546
257011,Acute upper respiratory infection,69,269
439297,Nuclear senile cataract,69,869
44784439,Benign hypertensive renal disease with renal failure,69,217
4164898,Diverticulosis of large intestine without diverticulitis,68,212
80813,Lumbosacral spondylosis without myelopathy,68,262
40479576,Chronic diastolic heart failure,68,349
443410,Infective pneumonia,68,585
79864,Hematuria syndrome,68,312
440674,Gout,68,423
77074,Joint pain,68,576
315078,Palpitations,67,555
192963,Disorder of pancreas,67,544
197684,Dysuria,67,281
314664,Long QT syndrome,67,167
4233565,Severe protein-calorie malnutrition (Gomez: less than 60 percent of standard weight),66,224
372448,Loss of consciousness,66,508
434005,Morbid obesity,66,518
200174,Disorder of skin and/or subcutaneous tissue,66,306
321052,Peripheral vascular disease,65,992
46271075,Acute hypoxemic respiratory failure,65,385
4229440,Chronic congestive heart failure,65,654
257007,Allergic rhinitis,65,297
135777,Neoplasm of uncertain behavior of skin,65,467
375545,Cataract,64,351
42537730,Coronary artery graft present,64,296
438791,Pulmonary congestion and hypostasis,64,220
437247,Anemia of chronic disease,64,198
37018196,Prediabetes,64,461
138825,Actinic keratosis,64,808
377889,Hearing loss,63,174
195562,Hemorrhoids,63,239
141932,Senile hyperkeratosis,63,416
42538119,Transplanted heart valve present,62,737
321319,Cardiomyopathy,62,768
4174262,Polyneuropathy,62,369
4141360,Chronic atrial fibrillation,61,427
201061,Diaphragmatic hernia,61,293
444044,Acute tubular necrosis,61,280
78508,Arthralgia of the ankle and/or foot,61,495
442793,Complication due to diabetes mellitus,61,789
197672,Urinary incontinence,61,210
197917,Disorder of biliary tract,61,260
4128329,Menopause present,61,247
45768812,Anemia in chronic kidney disease,60,1209
315085,Lymphadenopathy,60,212
193782,End-stage renal disease,60,2557
4113821,Anxiety state,59,395
319041,Orthostatic hypotension,58,319
316998,Left bundle branch block,58,318
4103295,Ventricular tachycardia,58,336
79908,Muscle weakness,58,332
435788,Disorder of phosphorus metabolism,58,251
132736,Bacteremia,57,374
43530621,Acute postoperative pain,57,183
314379,First degree atrioventricular block,56,128
45766207,Non-rheumatic mitral valve stenosis with regurgitation,56,589
4079749,Osteoarthritis of hip,55,749
432585,Blood coagulation disorder,55,148
196236,Septic shock,54,240
433740,Immunodeficiency disorder,54,1690
432795,Traumatic or non-traumatic injury,54,194
442019,Complication of procedure,54,190
4268911,Disorientated,54,219
40321716,Secondary thrombocytopenia,54,219
443211,Benign prostatic hyperplasia with outflow obstruction,54,311
443454,Cerebral infarction,53,465
443600,Localized infection of skin AND/OR subcutaneous tissue,53,206
134898,Non-toxic uninodular goiter,53,386
78097,Secondary malignant neoplasm of bone,53,1052
4152384,Non-rheumatic aortic sclerosis,53,980
4322024,Pulmonary hypertension,52,483
374034,Visual disturbance,52,216
443392,Malignant neoplastic disease,52,673
442165,Loss of appetite,52,273
4270024,Acute non-ST segment elevation myocardial infarction,52,277
4329041,Pain,52,248
199754,Primary malignant neoplasm of pancreas,52,2050
4187218,Pneumonitis due to inhaled substance,51,173
261600,Acute pulmonary edema,51,151
4180628,Disorder of body system,51,195
200843,Finding of frequency of urination,50,263
200962,Primary malignant neoplasm of prostate,50,2716
375415,Injury of head,50,131
4232697,Persistent atrial fibrillation,50,699
44782719,Chronic combined systolic and diastolic heart failure,50,349
439147,Amnesia,49,289
201620,Kidney stone,49,381
443257,Swelling / lump finding,49,186
40481385,Imaging of abdomen abnormal,49,97
4295336,Left anterior fascicular block,49,107
439407,Disorder of nasal cavity,49,197
432851,Secondary malignant neoplastic disease,48,298
40480602,Acute on chronic systolic heart failure,48,377
141941,Cervical spondylosis without myelopathy,48,167
4306267,Coag./bleeding tests abnormal,48,137
317009,Asthma,47,257
316429,Premature beats,47,107
4158911,Non-rheumatic heart valve disorder,47,816
135930,Musculoskeletal finding,47,275
4311499,Primary malignant neoplasm of respiratory tract,46,2351
4117695,Pain in left lower limb,46,207
443612,Chronic kidney disease stage 4,46,629
319843,Mitral valve disorder,46,400
4209423,Nicotine dependence,46,203
441258,Anemia in neoplastic disease,46,142
44784631,Pain due to neoplastic disease,46,494
81611,Diverticular disease of colon,46,82
37017182,Joint pain of pelvic region,46,269
441408,Vomiting,45,99
4134121,Lumbar radiculopathy,45,427
432881,Pancytopenia,45,733
40482267,Imaging of gastrointestinal tract abnormal,45,88
4115171,Pain in right lower limb,45,223
261325,Pulmonary emphysema,45,274
321588,Heart disease,45,159
4155909,Anesthesia of skin,45,173
314054,Aortic valve disorder,44,560
435829,Rheumatic disease of heart valve,44,70
4103703,Melena,44,182
4206148,Syncope and collapse,44,271
4042728,Blood glucose abnormal,44,249
4153380,Disorder of carotid artery,44,297
317248,Disorder of hematopoietic structure,44,243
256449,Bronchiectasis,43,606
73840,"Localized, primary osteoarthritis of the shoulder region",43,334
438567,Adult failure to thrive syndrome,43,139
201072,Benign prostatic hyperplasia without outflow obstruction,43,165
