condition_concept_id,disease_name,num_patients,num_occurrences
320128,Essential hypertension,225,3426
432867,Hyperlipidemia,191,1736
320536,Electrocardiogram abnormal,184,911
313217,Atrial fibrillation,105,1899
312437,Dyspnea,104,1530
437677,Abnormal findings on diagnostic imaging of lung,101,539
319835,Congestive heart failure,94,1198
314658,Cardiomegaly,94,305
254061,Pleural effusion,93,522
764123,Atherosclerosis of coronary artery without angina pectoris,87,1507
77670,Chest pain,87,557
439777,Anemia,81,448
197320,Acute renal failure syndrome,81,526
4193704,Type 2 diabetes mellitus without complication,80,1036
4144111,Gastroesophageal reflux disease without esophagitis,75,354
438485,Postoperative state,68,332
44784217,Cardiac arrhythmia,68,267
75860,Constipation,65,351
436096,Chronic pain,63,444
314666,Old myocardial infarction,63,225
261880,Atelectasis,61,120
254761,Cough,59,353
443597,Chronic kidney disease stage 3,58,537
81902,Urinary tract infectious disease,57,320
4154290,Paroxysmal atrial fibrillation,56,949
4192174,Illness,55,146
444070,Tachycardia,54,132
4272240,Malaise,53,253
201826,Type 2 diabetes mellitus,52,470
317002,Low blood pressure,50,148
433595,Edema,49,348
442588,Obstructive sleep apnea syndrome,49,390
4168694,Lung field abnormal,48,214
436230,Blood chemistry abnormal,48,207
46271022,Chronic kidney disease,48,798
200219,Abdominal pain,48,157
4115173,Atrial premature complex,48,94
435515,Hypo-osmolality and or hyponatremia,47,184
434894,Acute posthemorrhagic anemia,47,149
194133,Low back pain,46,373
40479192,Chronic systolic heart failure,45,331
4223659,Fatigue,44,321
317576,Coronary arteriosclerosis,43,167
316139,Heart failure,43,347
433736,Obesity,43,117
437113,Asthenia,42,138
40481919,Coronary atherosclerosis,42,480
255573,Chronic obstructive lung disease,42,513
437390,Hypoxemia,41,135
42537748,Acquired absence of organ,41,120
27674,Nausea and vomiting,41,244
437663,Fever,40,139
140673,Hypothyroidism,40,449
436962,Insomnia,40,216
436222,Altered mental status,40,176
437827,Pure hypercholesterolemia,40,195
44782429,Chronic kidney disease due to hypertension,39,87
4089462,Ventricular premature complex,39,80
433316,Dizziness and giddiness,38,163
40483287,Disorder of kidney and/or ureter,38,278
435517,Acidosis,38,76
40479576,Chronic diastolic heart failure,38,200
372448,Loss of consciousness,37,251
132797,Sepsis,37,235
31317,Dysphagia,37,213
435796,Dehydration,36,133
4305080,Abnormal breathing,36,148
134736,Backache,36,105
4282096,"Major depression, single episode",36,218
437833,Hypokalemia,35,92
80502,Osteoporosis,35,426
75909,Disorder of bone,35,216
31967,Nausea,35,111
43531578,Chronic kidney disease due to type 2 diabetes mellitus,35,247
314059,Right bundle branch block,35,118
316999,Conduction disorder of the heart,35,70
