concept_id_1,concept_id_2,relationship_id,valid_start_DATE,valid_end_DATE,invalid_reason,load_table_id,load_row_id
4098199,4230546,Is a,2015-07-31,2099-12-31,,athena_vocab,
40614235,4158858,Concept poss_eq to,2017-07-31,2099-12-31,,athena_vocab,
40930343,40826269,Consists of,2017-07-18,2099-12-31,,athena_vocab,
35969600,36742276,Maps to,2020-09-13,2099-12-31,,athena_vocab,
41415452,41415905,Marketed form of,2017-07-18,2099-12-31,,athena_vocab,
46151587,4305085,Has spec active ing,2018-07-31,2099-12-31,,athena_vocab,
40789406,37039228,Subsumes,1970-01-01,2099-12-31,,athena_vocab,
46002387,45969172,Is a,2015-01-31,2099-12-31,,athena_vocab,
743719,42661995,Mapped from,2020-02-09,2099-12-31,,athena_vocab,
19022896,46288050,RxNorm - SPL,1970-01-01,2099-12-31,,athena_vocab,
42721992,42713904,Box of,2017-07-30,2099-12-31,,athena_vocab,
43842639,43580012,Has supplier,2016-07-01,2099-12-31,,athena_vocab,
2926279,2926284,Tradename of,2021-06-30,2099-12-31,,athena_vocab,
35631990,37388386,Module of,2022-01-28,2099-12-31,,athena_vocab,
41094942,41094942,Maps to,2017-07-18,2099-12-31,,athena_vocab,
43162351,35772226,Has marketed form,2017-08-02,2099-12-31,,athena_vocab,
4294612,46159752,Disp dose form of,2018-07-31,2099-12-31,,athena_vocab,
36893101,42731080,Has tradename,2017-07-30,2099-12-31,,athena_vocab,
3220776,3090492,Concept poss_eq from,2019-08-16,2099-12-31,,athena_vocab,
40226469,40226468,Tradename of,2010-10-04,2099-12-31,,athena_vocab,
607796,607796,Maps to,2022-01-28,2099-12-31,,athena_vocab,
41417396,41417396,Mapped from,2017-07-18,2099-12-31,,athena_vocab,
19021494,19021495,Brand name of,2016-10-07,2099-12-31,,athena_vocab,
3459623,4198750,Maps to,1970-01-01,2099-12-31,,athena_vocab,
36532155,4180313,Is a,2015-09-18,2099-12-31,,athena_vocab,
44497863,36560812,Topography of ICDO,2015-09-18,2099-12-31,,athena_vocab,
1195358,19021433,Concept replaced by,2012-10-01,2099-12-31,,athena_vocab,
19008353,37205296,RxNorm - SNOMED eq,2019-07-31,2099-12-31,,athena_vocab,
46050522,35631990,Has Module,2022-01-28,2099-12-31,,athena_vocab,
19082079,40852291,RxNorm dose form of,2017-07-18,2099-12-31,,athena_vocab,
36026754,40744442,Concept replaces,2021-06-04,2099-12-31,,athena_vocab,
44790745,44790745,Maps to,2014-04-01,2099-12-31,,athena_vocab,
35631990,46177747,Module of,2022-01-28,2099-12-31,,athena_vocab,
2072675,2072675,Mapped from,2020-07-31,2099-12-31,,athena_vocab,
2753749,40493488,Is a,1970-01-01,2099-12-31,,athena_vocab,
44060932,19129634,RxNorm has dose form,2017-06-25,2099-12-31,,athena_vocab,
19131829,19070227,Consists of,2008-09-02,2099-12-31,,athena_vocab,
19082224,43775583,RxNorm dose form of,2016-07-01,2099-12-31,,athena_vocab,
43651637,19095976,RxNorm has dose form,2016-07-01,2099-12-31,,athena_vocab,
4290594,2735651,Acc device used by,1970-01-01,2099-12-31,,athena_vocab,
40184727,45074815,Mapped from,2011-09-06,2099-12-31,,athena_vocab,
43625226,43686213,Has marketed form,2017-06-24,2099-12-31,,athena_vocab,
42616915,76191,Maps to,2018-11-28,2099-12-31,,athena_vocab,
21415324,46145056,Maps to,2018-09-19,2099-12-31,,athena_vocab,
40968803,19082255,RxNorm has dose form,2017-07-18,2099-12-31,,athena_vocab,
3619058,35631990,Has Module,2022-01-28,2099-12-31,,athena_vocab,
40642538,46125889,Status of,2022-01-28,2099-12-31,,athena_vocab,
35626950,46150242,Excipient of,2018-07-31,2099-12-31,,athena_vocab,
40746044,21214130,Mapped from,2018-06-04,2099-12-31,,athena_vocab,
42480351,21127951,Has quantified form,2015-08-17,2099-12-31,,athena_vocab,
42584525,42584525,Mapped from,2018-10-01,2099-12-31,,athena_vocab,
43774561,43774561,Maps to,2016-12-18,2099-12-31,,athena_vocab,
19082573,40964855,RxNorm dose form of,2017-07-18,2099-12-31,,athena_vocab,
44074468,44122645,RxNorm is a,2017-08-24,2099-12-31,,athena_vocab,
35941964,35909685,Value to Schema,1970-01-01,2099-12-31,,athena_vocab,
46147543,35607932,Has non-avail ind,2018-07-31,2099-12-31,,athena_vocab,
3037595,1030929,Has system,2019-12-13,2099-12-31,,athena_vocab,
2790753,4207470,Has method,1970-01-01,2099-12-31,,athena_vocab,
2026268,42919973,Marketed form of,2020-07-31,2099-12-31,,athena_vocab,
46279702,37209200,Is a,2019-07-31,2099-12-31,,athena_vocab,
19082103,41338820,RxNorm dose form of,2017-07-18,2099-12-31,,athena_vocab,
1307863,19100491,Has brand name,2006-01-20,2099-12-31,,athena_vocab,
40964879,40964879,Maps to,2017-07-18,2099-12-31,,athena_vocab,
2891691,2769631,Subsumes,2014-04-22,2099-12-31,,athena_vocab,
45456738,320746,Maps to,2014-04-01,2099-12-31,,athena_vocab,
2792535,2792535,Maps to,2014-04-22,2099-12-31,,athena_vocab,
19082573,41319474,RxNorm dose form of,2017-07-18,2099-12-31,,athena_vocab,
41163222,19082103,RxNorm has dose form,2017-07-18,2099-12-31,,athena_vocab,
36517721,4116070,Is a,1970-01-01,2099-12-31,,athena_vocab,
36275377,43129427,Has brand name,2017-10-01,2099-12-31,,athena_vocab,
1821514,1821514,Mapped from,2021-07-27,2099-12-31,,athena_vocab,
45777373,4273484,Has product comp,2014-12-01,2099-12-31,,athena_vocab,
3372187,3261882,Subsumes,2019-08-16,2099-12-31,,athena_vocab,
3033894,1029816,Has time aspect,2019-12-13,2099-12-31,,athena_vocab,
36405668,36403319,Has brand name,2017-08-02,2099-12-31,,athena_vocab,
35407402,35407402,Maps to,2017-07-17,2099-12-31,,athena_vocab,
3054225,3153295,Concept same_as from,2019-08-16,2099-12-31,,athena_vocab,
44191916,36895295,Concept replaced by,2018-08-02,2099-12-31,,athena_vocab,
4146929,40642538,Has status,2022-01-28,2099-12-31,,athena_vocab,
46274482,36771146,RxNorm - SPL,1970-01-01,2099-12-31,,athena_vocab,
42942679,42942644,Constitutes,2018-08-21,2099-12-31,,athena_vocab,
3253411,3131135,Concept replaces,2019-08-16,2099-12-31,,athena_vocab,
3040871,1025180,Has component,2019-12-13,2099-12-31,,athena_vocab,
45774401,45634775,RxNorm - SPL,1970-01-01,2099-12-31,,athena_vocab,
77630,40642537,Has status,2022-01-28,2099-12-31,,athena_vocab,
42578625,42578625,Mapped from,2018-10-01,2099-12-31,,athena_vocab,
43813257,41442006,Tradename of,2017-07-30,2099-12-31,,athena_vocab,
21019725,21102215,Supplier of,2015-08-17,2099-12-31,,athena_vocab,
46192227,35626985,Has legal category,2018-07-31,2099-12-31,,athena_vocab,
1029816,42870576,Time aspect of,2019-12-13,2099-12-31,,athena_vocab,
43733396,43787250,Marketed form of,2017-06-24,2099-12-31,,athena_vocab,
40642539,4053640,Module of,2022-01-28,2099-12-31,,athena_vocab,
44508929,4154201,Maps to,2018-08-29,2099-12-31,,athena_vocab,
36247012,19082306,RxNorm has ing,2016-08-01,2099-12-31,,athena_vocab,
45877994,40769742,Answer of,1970-01-01,2099-12-31,,athena_vocab,
19077547,42829893,Mapped from,2018-02-01,2099-12-31,,athena_vocab,
19135081,36233847,RxNorm is a,2016-08-01,2099-12-31,,athena_vocab,
2902037,2984812,Mapped from,2021-06-30,2099-12-31,,athena_vocab,
3215313,3375771,Is a,2019-08-16,2099-12-31,,athena_vocab,
40642538,46095078,Status of,2022-01-28,2099-12-31,,athena_vocab,
46275329,40919821,RxNorm ing of,2017-07-18,2099-12-31,,athena_vocab,
43188076,43227058,Mapped from,2016-09-10,2099-12-31,,athena_vocab,
21132483,21283430,Mapped from,2015-08-17,2099-12-31,,athena_vocab,
3189875,3464117,Has dir morph,2019-08-16,2099-12-31,,athena_vocab,
4293448,46111928,Disp dose form of,2018-07-31,2099-12-31,,athena_vocab,
3253427,3145109,Concept was_a from,2019-08-16,2099-12-31,,athena_vocab,
41505172,41505172,Mapped from,2017-07-18,2099-12-31,,athena_vocab,
40642538,46036235,Status of,2022-01-28,2099-12-31,,athena_vocab,
46287044,36717717,Maps to,2017-07-31,2099-12-31,,athena_vocab,
19082168,36061934,RxNorm dose form of,2020-08-17,2099-12-31,,athena_vocab,
42032959,42022075,Is a,1970-01-01,2099-12-31,,athena_vocab,
40198856,35909766,Value to Schema,1970-01-01,2099-12-31,,athena_vocab,
4252064,40642538,Has status,2022-01-28,2099-12-31,,athena_vocab,
21110819,21282933,Mapped from,2015-08-17,2099-12-31,,athena_vocab,
1175169,36210475,Has Answer,1970-01-01,2099-12-31,,athena_vocab,
78097,4311762,Subsumes,2011-07-31,2099-12-31,,athena_vocab,
4235492,3495487,Mapped from,1970-01-01,2099-12-31,,athena_vocab,
41120093,40819026,Has brand name,2017-07-18,2099-12-31,,athena_vocab,
19082191,43788134,RxNorm dose form of,2016-07-01,2099-12-31,,athena_vocab,
3630998,40642538,Has status,2022-01-28,2099-12-31,,athena_vocab,
4199280,3343648,Mapped from,1970-01-01,2099-12-31,,athena_vocab,
40642538,4018925,Status of,2022-01-28,2099-12-31,,athena_vocab,
40198796,35909847,Value to Schema,1970-01-01,2099-12-31,,athena_vocab,
3087266,4036656,Maps to,1970-01-01,2099-12-31,,athena_vocab,
35607932,46172334,Non-avail ind of,2018-07-31,2099-12-31,,athena_vocab,
19001949,41195807,RxNorm dose form of,2017-07-18,2099-12-31,,athena_vocab,
3509322,3313871,Dir proc site of,2019-08-16,2099-12-31,,athena_vocab,
4344019,4095277,Has finding site,2011-07-31,2099-12-31,,athena_vocab,
43026901,43026900,Has tradename,2019-10-06,2099-12-31,,athena_vocab,
4134431,198819,Is a,2011-07-31,2099-12-31,,athena_vocab,
43563005,4334011,Has physio effect,2015-07-06,2099-12-31,,athena_vocab,
35627170,35630316,Subsumes,2018-07-31,2099-12-31,,athena_vocab,
3238750,3249081,Is a,2019-08-16,2099-12-31,,athena_vocab,
3178870,3167961,Is a,2019-08-16,2099-12-31,,athena_vocab,
21041852,21061420,Has marketed form,2017-06-24,2099-12-31,,athena_vocab,
36706234,35607932,Has non-avail ind,2018-07-31,2099-12-31,,athena_vocab,
